company,company_plot_number,company_stand_number,plot_program,establishment_year,establishment_month,establishment_day,fmu,fma,ats_township,ats_range,ats_meridian,ats_section,opening_number,sampling_unit_number,topographic_position,elevation,slope,aspect,x_coord,y_coord,utm_zone,datum,latitude,longitude,natural_subregion,ecosite_guide,ecosite,ecosite_phase,plot_comment,shared
GOA,520.1,520,PGYI,1984,7,17,C5,NA,14,4,5,5,NA,.,5,2022,14,E,677825.00898,5557428.23199,UTM11,NAD83,50.142392,-114.511238,SA,SW,e,e3,NA,1
GOA,524.1,524,PGYI,1984,7,20,C5,NA,14,5,5,24,NA,.,5,2013,10,SW,674921.60495,5563028.89698,UTM11,NAD83,50.19358,-114.549259,SA,SW,e,e1,NA,2
GOA,524.1,524,PGYI,1984,7,20,C5,NA,14,5,5,24,NA,.,5,2013,10,SW,674921.60495,5563028.89698,UTM11,NAD83,50.19358,-114.549259,SA,SW,e,e1,NA,2
GOA,527.1,527,PGYI,1984,7,23,C5,NA,14,4,5,15,NA,.,5,1904,8,E,680469.83601,5561293.08397,UTM11,NAD83,50.176319,-114.472428,SA,SW,e,e1,NA,2
GOA,527.1,527,PGYI,1984,7,23,C5,NA,14,4,5,15,NA,.,5,1904,8,E,680469.83601,5561293.08397,UTM11,NAD83,50.176319,-114.472428,SA,SW,e,e1,NA,2
GOA,530.1,530,PGYI,1984,8,2,B11,NA,18,7,5,19,NA,.,5,1982,12,W,645631.00496,5600641.89198,UTM11,NAD83,50.539566,-114.944774,SA,SW,e,e1,NA,2
GOA,530.1,530,PGYI,1984,8,2,B11,NA,18,7,5,19,NA,.,5,1982,12,W,645631.00496,5600641.89198,UTM11,NAD83,50.539566,-114.944774,SA,SW,e,e1,NA,2
GOA,531.1,531,MPB,1984,8,1,B10,FMA0100038,17,6,5,1,NA,.,2,1581,1,NA,662996.31695,5586304.60196,UTM11,NAD83,50.406149,-114.70615,MT,SW,c,c2,NA,2
GOA,531.1,531,MPB,1984,8,1,B10,FMA0100038,17,6,5,1,NA,.,2,1581,1,NA,662996.31695,5586304.60196,UTM11,NAD83,50.406149,-114.70615,MT,SW,c,c2,NA,2
GOA,534.1,534,PGYI,1984,8,3,B10,FMA0100038,15,5,5,15,NA,.,5,1766,3,E,671097.52302,5569588.676,UTM11,NAD83,50.253643,-114.599828,SA,SW,e,e1,NA,2
GOA,534.1,534,PGYI,1984,8,3,B10,FMA0100038,15,5,5,15,NA,.,5,1766,3,E,671097.52302,5569588.676,UTM11,NAD83,50.253643,-114.599828,SA,SW,e,e1,NA,2
GOA,536.1,536,PGYI,1984,8,5,B10,FMA0100038,15,5,5,11,NA,.,3,1756,10,NW,671699.27301,5569069.90896,UTM11,NAD83,50.248807,-114.59163,SA,SW,e,e1,NA,2
GOA,536.1,536,PGYI,1984,8,5,B10,FMA0100038,15,5,5,11,NA,.,3,1756,10,NW,671699.27301,5569069.90896,UTM11,NAD83,50.248807,-114.59163,SA,SW,e,e1,NA,2
GOA,544.1,544,PGYI,1984,8,20,B9,FMA0100038,28,7,5,6,NA,.,6,1482,5,W,641323.02002,5692187.84802,UTM11,NAD83,51.363349,-114.969991,MT,WC,c,c2,NA,2
GOA,544.1,544,PGYI,1984,8,20,B9,FMA0100038,28,7,5,6,NA,.,6,1482,5,W,641323.02002,5692187.84802,UTM11,NAD83,51.363349,-114.969991,MT,WC,c,c2,NA,2
GOA,547.1,547,PGYI,1985,2,4,S18,NA,81,25,4,21,NA,.,5,576,2,NW,321623.20984,6213134.09472,UTM12,NAD83,56.030167,-113.862755,CM,N,d,d3,NA,2
GOA,547.1,547,PGYI,1985,2,4,S18,NA,81,25,4,21,NA,.,5,576,2,NW,321623.20984,6213134.09472,UTM12,NAD83,56.030167,-113.862755,CM,N,d,d3,NA,2
GOA,567.1,567,PGYI,1989,11,22,R10,FMA9200030,35,7,5,1,NA,.,6,1200,5,N,646705.07597,5760552.38703,UTM11,NAD83,51.97626,-114.864027,LF,WC,d,d1,NA,2
GOA,567.1,567,PGYI,1989,11,22,R10,FMA9200030,35,7,5,1,NA,.,6,1200,5,N,646705.07597,5760552.38703,UTM11,NAD83,51.97626,-114.864027,LF,WC,d,d1,NA,2
GOA,58.4,58,MPB,1961,8,8,G16,FMA6900016,65,7,6,21,NA,.,2,1058,3,N,371299.27431,6056717.68728,UTM11,NAD83,54.641424,-118.994326,UF,WC,f,f3,NA,2
